"Name","Location","Function Signature","Function Size"
"FUN_0041e1c0","0041e1c0","undefined FUN_0041e1c0(undefined4 param_1\, float * param_2\, int param_3\, int param_4\, int param_5\, float * param_6)","255"
"FUN_0041e2c0","0041e2c0","undefined FUN_0041e2c0(int param_1\, int param_2)","497"
"FUN_0041e4c0","0041e4c0","undefined FUN_0041e4c0(void * param_1)","4021"
"FUN_0041f480","0041f480","undefined FUN_0041f480(void)","478"
"FUN_0041f660","0041f660","undefined FUN_0041f660(undefined4 param_1\, undefined4 param_2)","110"
"FUN_0041f6d0","0041f6d0","int * FUN_0041f6d0(int param_1\, int * param_2\, undefined2 param_3)","529"
"FUN_0041f8f0","0041f8f0","void * FUN_0041f8f0(uint param_1\, int param_2)","67"
"FUN_0041f940","0041f940","undefined FUN_0041f940(void)","1355"
"FUN_0041fe90","0041fe90","undefined FUN_0041fe90(int param_1)","526"
"FUN_004200c0","004200c0","undefined FUN_004200c0(void)","108"
"FUN_00420220","00420220","undefined FUN_00420220(void * this\, undefined4 * param_1)","249"
"FUN_00420330","00420330","undefined FUN_00420330(int param_1)","142"
"FUN_004203c0","004203c0","bool FUN_004203c0(int param_1)","90"
"FUN_00420450","00420450","undefined FUN_00420450(int param_1\, undefined4 param_2)","138"
"FUN_004204e0","004204e0","undefined4 FUN_004204e0(void * this\, int param_1\, int param_2\, int param_3)","130"
"FUN_00420570","00420570","undefined4 FUN_00420570(int param_1)","193"
"FUN_00420640","00420640","undefined4 FUN_00420640(int param_1\, int param_2\, int param_3)","67"
"FUN_00420690","00420690","undefined FUN_00420690(void * this\, int * param_1)","98"
"FUN_00420700","00420700","undefined FUN_00420700(int param_1\, float param_2\, float param_3\, float * param_4\, float * param_5)","124"
"FUN_00420780","00420780","uint FUN_00420780(undefined4 param_1\, undefined4 param_2\, uint param_3)","274"
"FUN_004208a0","004208a0","uint FUN_004208a0(float param_1\, float param_2)","118"
"FUN_00420920","00420920","undefined FUN_00420920(void * this\, float param_1\, float param_2\, undefined4 param_3\, float param_4\, float param_5\, undefined4 param_6\, float param_7\, float param_8)","1025"
"FUN_00420d30","00420d30","undefined FUN_00420d30(void * this\, float param_1\, float param_2\, undefined4 param_3\, float param_4\, float param_5\, float param_6\, float param_7)","738"
"FUN_00421050","00421050","uint FUN_00421050(uint * param_1)","161"
"FUN_00421100","00421100","undefined FUN_00421100(void * this\, char * param_1\, uint param_2\, uint param_3\, undefined4 param_4\, undefined1 param_5\, undefined4 param_6\, undefined4 param_7\, uint param_8\, undefined4 param_9\, undefined4 param_10\, uint param_11)","469"
"FUN_004212e0","004212e0","int FUN_004212e0(int * param_1)","57"
"FUN_00421320","00421320","undefined FUN_00421320(undefined4 * param_1)","210"
"FUN_00421410","00421410","undefined4 FUN_00421410(int param_1)","20"
"FUN_00421430","00421430","undefined FUN_00421430(void * param_1)","740"
"FUN_00421720","00421720","uint FUN_00421720(void * this\, float param_1\, int param_2\, float param_3)","2991"
"FUN_00422340","00422340","float10 FUN_00422340(int param_1\, byte * param_2\, float param_3\, float param_4\, undefined4 param_5\, byte param_6\, float param_7\, float param_8\, float param_9\, undefined4 param_10\, float param_11)","393"
"FUN_004224d0","004224d0","undefined FUN_004224d0(void * this\, float param_1)","608"
"FUN_004234b0","004234b0","undefined FUN_004234b0(void * this\, int param_1\, int param_2\, int param_3\, char param_4)","349"
"FUN_00423610","00423610","undefined FUN_00423610(int param_1\, int param_2\, int param_3\, char param_4)","31"
"FUN_00423670","00423670","undefined FUN_00423670(int param_1)","160"
"FUN_00423710","00423710","undefined FUN_00423710(int param_1)","217"
"FUN_004237f0","004237f0","undefined FUN_004237f0(int param_1)","219"
"FUN_004238d0","004238d0","int FUN_004238d0(char param_1)","40"
"FUN_00423900","00423900","undefined FUN_00423900(int param_1)","146"
"FUN_004239e0","004239e0","undefined FUN_004239e0(ushort param_1)","389"
"FUN_00423bc0","00423bc0","undefined FUN_00423bc0(int param_1)","99"
"FUN_00423c30","00423c30","undefined FUN_00423c30(int param_1\, int param_2)","867"
"FUN_00424040","00424040","undefined FUN_00424040(int param_1)","765"
"FUN_00424350","00424350","undefined FUN_00424350(int param_1)","96"
"FUN_004243b0","004243b0","undefined FUN_004243b0(void)","42"
"FUN_004243e0","004243e0","uint FUN_004243e0(int param_1\, int param_2\, int param_3)","273"
"FUN_00424500","00424500","undefined FUN_00424500(short * param_1)","491"
"FUN_004246f0","004246f0","undefined FUN_004246f0(undefined4 * param_1\, undefined4 * param_2)","90"
"FUN_00424750","00424750","undefined4 FUN_00424750(int param_1)","92"
"FUN_004247d0","004247d0","int FUN_004247d0(int param_1)","55"
"FUN_00424810","00424810","undefined4 FUN_00424810(void)","2725"
"FUN_00425350","00425350","undefined FUN_00425350(int param_1)","1467"
"FUN_00425910","00425910","undefined FUN_00425910(undefined4 param_1\, undefined4 param_2\, int param_3\, int param_4)","1655"
"FUN_00425fa0","00425fa0","undefined FUN_00425fa0(int param_1)","1087"
"FUN_004263fb","004263fb","undefined FUN_004263fb(void)","555"
"FUN_004265a0","004265a0","undefined FUN_004265a0(void)","1382"
"FUN_00426b30","00426b30","undefined FUN_00426b30(void)","21"
"FUN_00426b50","00426b50","undefined * FUN_00426b50(void)","81"
"FUN_00426bb0","00426bb0","float * FUN_00426bb0(float * param_1\, float param_2\, float param_3)","146"
"FUN_00426c50","00426c50","undefined * FUN_00426c50(void)","397"
"FUN_00426de0","00426de0","undefined FUN_00426de0(float * param_1\, uint param_2)","374"
"FUN_00426f60","00426f60","undefined FUN_00426f60(int param_1)","54"
"FUN_00426fa0","00426fa0","undefined FUN_00426fa0(void)","202"
"FUN_00427070","00427070","undefined FUN_00427070(void)","311"
"FUN_004271b0","004271b0","undefined FUN_004271b0(float param_1)","1522"
"FUN_004277d0","004277d0","undefined FUN_004277d0(void)","164"
"FUN_004278c0","004278c0","undefined4 FUN_004278c0(int param_1)","521"
"FUN_00427ad0","00427ad0","float10 FUN_00427ad0(undefined4 param_1\, undefined4 param_2\, int param_3)","103"
"FUN_00427b40","00427b40","undefined FUN_00427b40(int param_1)","196"
"FUN_00427c10","00427c10","undefined FUN_00427c10(int param_1)","96"
"FUN_00427c70","00427c70","undefined FUN_00427c70(int param_1)","90"
"FUN_00427cd0","00427cd0","undefined FUN_00427cd0(int param_1\, int param_2\, int param_3)","495"
"FUN_00427ec0","00427ec0","undefined4 FUN_00427ec0(void)","2672"
"FUN_004289a0","004289a0","float10 FUN_004289a0(int * param_1\, float param_2)","156"
"FUN_00428a40","00428a40","float10 FUN_00428a40(int * param_1)","219"
"FUN_00428b20","00428b20","undefined FUN_00428b20(void)","81"
"InitGameBeforeConfig","00428b90","undefined InitGameBeforeConfig(void)","466"
"FUN_00428f70","00428f70","int FUN_00428f70(int param_1\, int param_2)","118"
"FUN_00429010","00429010","undefined FUN_00429010(float param_1\, int param_2)","56"
"FUN_00429100","00429100","undefined FUN_00429100(int param_1)","261"
"FUN_00429210","00429210","undefined4 FUN_00429210(int param_1\, int param_2\, int param_3)","232"
"FUN_00429300","00429300","undefined FUN_00429300(int param_1\, int param_2)","381"
"FUN_00429480","00429480","undefined FUN_00429480(int param_1\, float * param_2)","77"
"FUN_004294d0","004294d0","undefined FUN_004294d0(undefined4 param_1\, undefined4 param_2\, int param_3\, float * param_4)","233"
"FUN_004295c0","004295c0","undefined4 FUN_004295c0(int param_1\, int param_2)","180"
"FUN_004299c0","004299c0","undefined FUN_004299c0(int param_1)","439"
"FUN_0042a070","0042a070","undefined4 FUN_0042a070(void)","305"
"FUN_0042a3d0","0042a3d0","undefined4 FUN_0042a3d0(void)","79"
"FUN_0042aa00","0042aa00","undefined FUN_0042aa00(int param_1)","489"
"FUN_0042abf0","0042abf0","undefined FUN_0042abf0(void)","1140"
"ReCalculateCompletionPoints","0042b080","undefined ReCalculateCompletionPoints(void)","1053"
"FUN_0042b4c0","0042b4c0","undefined FUN_0042b4c0(undefined4 param_1\, undefined4 param_2)","47"
"FUN_0042b550","0042b550","undefined FUN_0042b550(undefined4 param_1\, undefined4 param_2)","410"
"FUN_0042b6f0","0042b6f0","undefined FUN_0042b6f0(undefined4 param_1)","55"
"FUN_0042b730","0042b730","undefined FUN_0042b730(void)","137"
"FUN_0042b7c0","0042b7c0","undefined FUN_0042b7c0(void)","393"
"FUN_0042b960","0042b960","undefined FUN_0042b960(void)","2966"
"FUN_0042c500","0042c500","undefined FUN_0042c500(float * param_1\, int param_2\, float param_3\, float param_4\, int param_5\, int param_6)","569"
"FUN_0042c740","0042c740","undefined FUN_0042c740(int param_1)","1973"
"FUN_0042cf20","0042cf20","undefined FUN_0042cf20(void)","17"
"FUN_0042d000","0042d000","undefined FUN_0042d000(int param_1)","371"
"FUN_0042d180","0042d180","undefined FUN_0042d180(int param_1)","148"
"FUN_0042d2a0","0042d2a0","undefined FUN_0042d2a0(int param_1)","848"
"FUN_0042d5f0","0042d5f0","undefined FUN_0042d5f0(void)","335"
"FUN_0042d8e0","0042d8e0","undefined FUN_0042d8e0(float param_1)","285"
"FUN_0042da10","0042da10","undefined FUN_0042da10(int param_1)","138"
"FUN_0042dda0","0042dda0","undefined FUN_0042dda0(int param_1)","398"
"FUN_0042df30","0042df30","undefined FUN_0042df30(undefined4 param_1\, int param_2)","52"
"FUN_0042df70","0042df70","undefined FUN_0042df70(void)","124"
"FUN_0042dff0","0042dff0","undefined FUN_0042dff0(int param_1)","195"
"FUN_0042e160","0042e160","undefined FUN_0042e160(void)","4656"
"FUN_0042f3a0","0042f3a0","undefined FUN_0042f3a0(int param_1\, int param_2)","193"
"FUN_0042f4a0","0042f4a0","undefined FUN_0042f4a0(void)","319"
"FUN_0042f5e0","0042f5e0","undefined FUN_0042f5e0(float param_1)","869"
"FUN_0042f950","0042f950","undefined FUN_0042f950(int param_1\, float * param_2)","122"
"FUN_0042f9d0","0042f9d0","undefined FUN_0042f9d0(int param_1)","156"
"FUN_0042fa70","0042fa70","undefined FUN_0042fa70(char * param_1\, int * param_2\, uint * param_3)","317"
"FUN_0042fbb0","0042fbb0","undefined FUN_0042fbb0(undefined4 param_1\, undefined4 param_2\, float * param_3\, float * param_4\, float * param_5)","63"
"FUN_0042fbf0","0042fbf0","undefined FUN_0042fbf0(undefined4 param_1)","256"
"FUN_0042fcf0","0042fcf0","undefined FUN_0042fcf0(int param_1)","1063"
"FUN_004302e0","004302e0","undefined FUN_004302e0(int param_1\, float param_2\, float param_3)","332"
"FUN_00430430","00430430","undefined FUN_00430430(void)","2783"
"FUN_00430f20","00430f20","int FUN_00430f20(int * param_1\, int * param_2)","748"
"FUN_00431210","00431210","undefined FUN_00431210(int param_1)","1324"
"FUN_00431740","00431740","undefined FUN_00431740(float param_1\, int param_2)","2640"
"FUN_004321a0","004321a0","undefined FUN_004321a0(int param_1\, int param_2)","394"
"FUN_00432330","00432330","char FUN_00432330(int param_1\, int param_2\, undefined4 param_3\, uint param_4)","739"
"FUN_00432620","00432620","undefined4 FUN_00432620(int param_1\, float param_2\, int param_3)","381"
"FUN_004327a0","004327a0","undefined FUN_004327a0(int param_1)","94"
"FUN_00432860","00432860","undefined FUN_00432860(int param_1)","341"
"FUN_004329c0","004329c0","undefined FUN_004329c0(float * param_1)","48"
"FUN_00432a70","00432a70","undefined FUN_00432a70(float param_1)","148"
"FUN_00432b10","00432b10","undefined FUN_00432b10(int param_1)","30"
"FUN_00432f50","00432f50","undefined FUN_00432f50(undefined4 * param_1\, int param_2\, int param_3\, int param_4\, int param_5\, ushort param_6\, ushort param_7\, undefined4 param_8)","454"
"FUN_00433120","00433120","undefined FUN_00433120(void)","21"
"FUN_00433160","00433160","undefined FUN_00433160(undefined4 param_1\, undefined4 param_2\, float * param_3)","2248"
"FUN_00433a40","00433a40","undefined FUN_00433a40(undefined4 * param_1\, undefined4 param_2\, int param_3)","93"
"FUN_00433aa0","00433aa0","undefined FUN_00433aa0(int param_1)","306"
